time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-06T17:56:49.690Z,-19.8905,-71.0435,12.98,5.2,mww,,126,0.937,0.77,us,us2000je9g,2019-02-28T16:21:31.582Z,"101km WNW of Iquique, Chile",earthquake,3.9,3.2,0.069,20,reviewed,us,us
2019-02-06T17:44:45.490Z,21.3957,146.0811,4.72,5.3,mww,,42,6.128,0.89,us,us2000je96,2019-02-28T16:17:08.040Z,"155km NE of Farallon de Pajaros, Northern Mariana Islands",earthquake,9,0.9,0.073,18,reviewed,us,us
2019-02-06T11:55:09.940Z,2.2894,128.8078,33.76,5,mb,,112,2.085,0.82,us,us2000je5t,2019-02-06T12:13:08.040Z,"108km NE of Tobelo, Indonesia",earthquake,6.9,6,0.058,96,reviewed,us,us
2019-02-06T10:25:20.240Z,15.8487,120.5481,123.81,5.4,mww,,98,6.95,0.95,us,us2000je43,2019-02-10T15:06:18.062Z,"1km SSW of Pindangan, Philippines",earthquake,8.8,6.2,0.06,27,reviewed,us,us
2019-02-05T23:17:46.980Z,2.5882,128.4361,63.58,5,mb,,105,2.097,0.89,us,us2000jdy8,2019-02-26T02:58:41.040Z,"106km NNE of Tobelo, Indonesia",earthquake,8.1,6,0.042,183,reviewed,us,us
2019-02-05T19:31:36.250Z,40.8917,48.602,10,5.1,mww,,39,3.035,0.99,us,us2000jds8,2019-02-26T17:34:18.163Z,"23km NE of Basqal, Azerbaijan",earthquake,6.7,1.8,0.078,16,reviewed,us,us
2019-02-05T16:47:06.750Z,35.103,74.1694,20.67,5.2,mww,,19,1.629,0.85,us,us2000jdp4,2019-02-26T20:57:42.733Z,"34km S of Chilas, Pakistan",earthquake,6.6,3.6,0.059,28,reviewed,us,us
2019-02-05T02:26:09.720Z,39.0359,20.5612,8.74,5.4,mwr,,44,0.899,0.98,us,us2000jdgj,2019-02-16T11:34:56.514Z,"18km WNW of Preveza, Greece",earthquake,3.4,4.7,0.073,18,reviewed,us,us
2019-02-04T19:29:54.170Z,-0.4128,98.0411,17.8,5.7,mww,,62,1.767,0.72,us,us2000jda7,2019-02-28T00:33:47.040Z,"131km NW of Sikabaluan, Indonesia",earthquake,7.1,2.9,0.053,34,reviewed,us,us
2019-02-04T17:45:48.120Z,-2.4055,-79.8346,70,5.8,mww,,47,0.579,1.01,us,us2000jd8d,2019-02-28T00:19:28.646Z,"22km S of Duran, Ecuador",earthquake,4.3,1.8,0.042,54,reviewed,us,us
2019-02-04T14:33:48.810Z,18.1358,-68.5523,74,5.3,ml,22,189,0.4149,0.8,pr,pr2019035005,2019-02-26T18:01:40.876Z,"32km SSE of Boca de Yuma, Dominican Republic",earthquake,7.21,6.13,0.42,14,reviewed,pr,pr
2019-02-04T10:37:59.170Z,-24.431,-175.7176,10,5.3,mb,,45,5.185,1.46,us,us2000jd3d,2019-02-27T12:45:13.040Z,"South of Tonga",earthquake,8.2,1.8,0.038,237,reviewed,us,us
2019-02-03T07:36:50.110Z,-3.2637,130.7504,35,5.4,mww,,37,1.535,1.26,us,us2000jcp0,2019-02-03T07:55:32.040Z,"203km E of Amahai, Indonesia",earthquake,3.4,1.9,0.073,18,reviewed,us,us
